Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2021-10-10 08:36:00,true,"Piatra Neamt Running","24.31","--","02:31:07","138","169","--","0","0","6:13","1:50","536","561","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:31:06.99.9","1","0.0","--","--","--","02:23:49","02:31:07","310","655"
Trail Running,2021-10-09 10:52:00,true,"Bicaz Trail Running","17.42","--","04:22:56","108","161","--","0","0","15:05","2:08","1,575","1,583","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:22:56.00","1","0.0","--","--","--","03:57:31","04:22:56","801","1,866"
Trail Running,2021-10-08 15:37:00,true,"Piatra Neamt Trail Running","12.68","--","01:18:32","0","0","--","0","0","6:12","2:06","647","647","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:18:32.00","1","0.0","--","--","--","01:18:03","01:18:32","329","656"
Trail Running,2021-10-06 16:51:41,true,"Piatra Neamt Trail Running","9.17","896","01:18:55","143","180","3.5","171","207","8:37","4:35","829","829","0.67","10.6","6.8","305","48.5% L / 51.5% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","00:52.37.7","10","0.0","37","20","50","01:18:48","01:18:55","346","639"
Running,2021-10-05 16:40:54,true,"Piatra Neamt Running","16.11","1,085","01:19:05","148","163","4.6","183","201","4:55","3:43","125","124","1.10","7.4","8.4","246","45.8% L / 54.2% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","00:26.54","17","0.0","37","22","45","01:19:01","01:19:05","311","346"
Cycling,2021-10-04 17:11:00,true,"Piatra Neamt Cycling","17.29","615","01:21:20","121","166","3.4","0","0","12.8","26.5","573","573","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","07:06.47.3","4","0.0","27","11","46","01:20:14","01:21:20","326","647"
Running,2021-10-03 10:31:20,true,"Piatra Neamt Running","20.03","1,370","01:55:18","131","151","3.9","176","197","5:45","3:49","151","148","0.98","8.1","8.1","252","46.7% L / 53.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","No","00:09.26.2","21","0.0","36","19","50","01:55:13","01:55:18","330","372"
Hiking,2021-10-02 16:49:20,true,"Piatra Neamt Hiking","7.45","578","01:50:33","97","139","1.8","93","241","14:50","6:12","398","391","0.73","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","01:50:32.81","1","0.0","--","--","--","01:39:26","01:50:33","327","627"
Hiking,2021-09-30 17:20:30,true,"Piatra Neamt Hiking","7.13","495","01:33:26","98","132","1.4","106","181","13:06","9:15","325","326","0.72","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","01:33:25.98.6","1","0.0","--","--","--","01:31:37","01:33:26","338","632"
Track Running,2021-09-29 18:10:11,true,"Piatra Neamt Track Running","10,010","648","00:50:24","142","167","3.6","177","188","5:02","3:53","1","1","1.10","8.6","9.7","245","46.6% L / 53.4% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","01:37.07.9","24","0.0","34","13","43","00:50:12","00:50:24","336","338"
